,full_name,title,guessed_gender,orcid_id,scholar_id,scopus_id,full_initials,single_initials,partial_initials,only_first,h-index_scopus,h-index_scholar
87,Christopher Harig,,male,,,,C. Harig,C. Harig,Christopher Harig,Christopher Harig,,
88,Veit Helm,,male,,,,V. Helm,V. Helm,Veit Helm,Veit Helm,,
89,Alexander Horvath,,male,,,,A. Horvath,A. Horvath,Alexander Horvath,Alexander Horvath,,
90,Martin Horwath,,male,,,,M. Horwath,M. Horwath,Martin Horwath,Martin Horwath,,
91,Shfaqat Khan,,male,,,,S. Khan,S. Khan,Shfaqat Khan,Shfaqat Khan,,
92,Hannes Konrad,,male,,,,H. Konrad,H. Konrad,Hannes Konrad,Hannes Konrad,,
93,Peter L. Langen,,male,,,,P. L. Langen,P. Langen,Peter L. Langen,Peter Langen,,
94,Benoit Lecavalier,,male,,,,B. Lecavalier,B. Lecavalier,Benoit Lecavalier,Benoit Lecavalier,,
95,Bryant Loomis,,male,,,,B. Loomis,B. Loomis,Bryant Loomis,Bryant Loomis,,
96,Scott Luthcke,,male,,,,S. Luthcke,S. Luthcke,Scott Luthcke,Scott Luthcke,,
97,Malcolm McMillan,,male,,,,M. McMillan,M. McMillan,Malcolm McMillan,Malcolm McMillan,,
98,Daniele Melini,,female,,,,D. Melini,D. Melini,Daniele Melini,Daniele Melini,,
99,Sebastian Mernild,,male,,,,S. Mernild,S. Mernild,Sebastian Mernild,Sebastian Mernild,,
100,Yara Mohajerani,,female,,,,Y. Mohajerani,Y. Mohajerani,Yara Mohajerani,Yara Mohajerani,,
101,Philip Moore,,male,,,,P. Moore,P. Moore,Philip Moore,Philip Moore,,
102,Ruth Mottram,,female,,,,R. Mottram,R. Mottram,Ruth Mottram,Ruth Mottram,,
103,Jeremie Mouginot,,male,,,,J. Mouginot,J. Mouginot,Jeremie Mouginot,Jeremie Mouginot,,
104,Gorka Moyano,,male,,,,G. Moyano,G. Moyano,Gorka Moyano,Gorka Moyano,,
105,Alan Muir,,male,,,,A. Muir,A. Muir,Alan Muir,Alan Muir,,
106,Thomas Nagler,,male,,,,T. Nagler,T. Nagler,Thomas Nagler,Thomas Nagler,,
107,Grace Nield,,female,,,,G. Nield,G. Nield,Grace Nield,Grace Nield,,
108,Johan Nilsson,,male,,,,J. Nilsson,J. Nilsson,Johan Nilsson,Johan Nilsson,,
109,Ines Otosaka,,female,,,,I. Otosaka,I. Otosaka,Ines Otosaka,Ines Otosaka,,
110,Mark E. Pattle,,male,,,,M. E. Pattle,M. Pattle,Mark E. Pattle,Mark Pattle,,
111,W. Richard Peltier,,male,,,,W. R. Peltier,W. Peltier,W. R. Peltier,W. Peltier,,
112,Nadège Pie,,female,,,,N. Pie,N. Pie,Nadège Pie,Nadège Pie,,
113,Roelof Rietbroek,,male,,,,R. Rietbroek,R. Rietbroek,Roelof Rietbroek,Roelof Rietbroek,,
114,Helmut Rott,,male,,,,H. Rott,H. Rott,Helmut Rott,Helmut Rott,,
115,Louise Sandberg Sørensen,,female,,,,L. Sandberg Sørensen,L. Sandberg Sørensen,Louise Sandberg Sørensen,Louise Sandberg Sørensen,,
116,Ingo Sasgen,,male,,,,I. Sasgen,I. Sasgen,Ingo Sasgen,Ingo Sasgen,,
117,Himanshu Save,,male,,,,H. Save,H. Save,Himanshu Save,Himanshu Save,,
118,Bernd Scheuchl,,male,,,,B. Scheuchl,B. Scheuchl,Bernd Scheuchl,Bernd Scheuchl,,
119,Ernst Schrama,,male,,,,E. Schrama,E. Schrama,Ernst Schrama,Ernst Schrama,,
120,Ludwig Schröder,,male,,,,L. Schröder,L. Schröder,Ludwig Schröder,Ludwig Schröder,,
121,Ki Weon Seo,,male,,,,K. W. Seo,K. Seo,Ki W. Seo,Ki Seo,,
122,Sebastian B. Simonsen,,male,,,,S. B. Simonsen,S. Simonsen,Sebastian B. Simonsen,Sebastian Simonsen,,
123,Thomas Slater,,male,,,,T. Slater,T. Slater,Thomas Slater,Thomas Slater,,
124,Giorgio Spada,,male,,,,G. Spada,G. Spada,Giorgio Spada,Giorgio Spada,,
125,Tyler Sutterley,,male,,,,T. Sutterley,T. Sutterley,Tyler Sutterley,Tyler Sutterley,,
126,Matthieu Talpe,,male,,,,M. Talpe,M. Talpe,Matthieu Talpe,Matthieu Talpe,,
127,Lev Tarasov,,male,,,,L. Tarasov,L. Tarasov,Lev Tarasov,Lev Tarasov,,
128,Willem Jan van de Berg,,male,,,,W. J. v. d. Berg,W. Berg,Willem J. v. d. Berg,Willem Berg,,
129,Wouter van der Wal,,male,,,,W. v. d. Wal,W. Wal,Wouter v. d. Wal,Wouter Wal,,
130,Melchior van Wessem,,male,,,,M. v. Wessem,M. Wessem,Melchior v. Wessem,Melchior Wessem,,
131,Bramha Dutt Vishwakarma,,male,,,,B. D. Vishwakarma,B. Vishwakarma,Bramha D. Vishwakarma,Bramha Vishwakarma,,
132,David Wiese,,male,,,,D. Wiese,D. Wiese,David Wiese,David Wiese,,
133,David Wilton,,male,,,,D. Wilton,D. Wilton,David Wilton,David Wilton,,
134,Thomas Wagner,,male,,,,T. Wagner,T. Wagner,Thomas Wagner,Thomas Wagner,,
135,Bert Wouters,,male,,,,B. Wouters,B. Wouters,Bert Wouters,Bert Wouters,,
136,Jan Wuite,,male,,,,J. Wuite,J. Wuite,Jan Wuite,Jan Wuite,,
137,Louise S. Sørensen,,female,,,,L. S. Sørensen,L. Sørensen,Louise S. Sørensen,Louise Sørensen,,
138,S. Abbas Khan,,male,,,,S. A. Khan,S. Khan,S. A. Khan,S. Khan,,
139,Henriette Skourup,,female,,,,H. Skourup,H. Skourup,Henriette Skourup,Henriette Skourup,,
140,Lars Stenseng,,male,,,,L. Stenseng,L. Stenseng,Lars Stenseng,Lars Stenseng,,
141,Steen S. Kristensen,,male,,,,S. S. Kristensen,S. Kristensen,Steen S. Kristensen,Steen Kristensen,,
142,Sine M. Hvidegaard,,female,,,,S. M. Hvidegaard,S. Hvidegaard,Sine M. Hvidegaard,Sine Hvidegaard,,
143,Nanna Karlsson,,female,,,,N. Karlsson,N. Karlsson,Nanna Karlsson,Nanna Karlsson,,
144,Jonas K. Andersen,,male,,,,J. K. Andersen,J. Andersen,Jonas K. Andersen,Jonas Andersen,,
145,Karina Hansen,,female,,,,K. Hansen,K. Hansen,Karina Hansen,Karina Hansen,,
146,Dirk van As,,male,,,,D. v. As,D. As,Dirk v. As,Dirk As,,
147,Heiko Goelzer,,male,,,,H. Goelzer,H. Goelzer,Heiko Goelzer,Heiko Goelzer,,
148,William Lipscomb,,male,,,,W. Lipscomb,W. Lipscomb,William Lipscomb,William Lipscomb,,
149,Michiel Van Den Broeke,,male,,,,M. V. D. Broeke,M. Broeke,Michiel V. D. Broeke,Michiel Broeke,,
150,A. Geruo,,male,,,,A. Geruo,A. Geruo,A. Geruo,A. Geruo,,
151,Valentina Barletta,,female,,,,V. Barletta,V. Barletta,Valentina Barletta,Valentina Barletta,,
152,Peter Langen,,male,,,,P. Langen,P. Langen,Peter Langen,Peter Langen,,
153,Brice Noel,,male,,,,B. Noel,B. Noel,Brice Noel,Brice Noel,,
154,Nadege Pie,,male,,,,N. Pie,N. Pie,Nadege Pie,Nadege Pie,,
155,Louise Sandberg-Sørensen,,female,,,,L. Sandberg-Sørensen,L. Sandberg-Sørensen,Louise Sandberg-Sørensen,Louise Sandberg-Sørensen,,
156,Sebastian Simonsen,,male,,,,S. Simonsen,S. Simonsen,Sebastian Simonsen,Sebastian Simonsen,,
157,Tom Slater,,male,,,,T. Slater,T. Slater,Tom Slater,Tom Slater,,
158,Willem Jan Van De Berg,,male,,,,W. J. V. D. Berg,W. Berg,Willem J. V. D. Berg,Willem Berg,,
159,Wouter Van Der Wal,,male,,,,W. V. D. Wal,W. Wal,Wouter V. D. Wal,Wouter Wal,,
160,Melchior Van Wessem,,male,,,,M. V. Wessem,M. Wessem,Melchior V. Wessem,Melchior Wessem,,
161,Daniel Binder,,male,,,,D. Binder,D. Binder,Daniel Binder,Daniel Binder,,
162,Konstanze Haubner,,female,,,,K. Haubner,K. Haubner,Konstanze Haubner,Konstanze Haubner,,
163,Bent Hasholt,,male,,,,B. Hasholt,B. Hasholt,Bent Hasholt,Bent Hasholt,,
164,John Cappelen,,male,,,,J. Cappelen,J. Cappelen,John Cappelen,John Cappelen,,
165,Sebastian H. Mernild,,male,,,,S. H. Mernild,S. Mernild,Sebastian H. Mernild,Sebastian Mernild,,
166,Andreas Bech Mikkelsen,,male,,,,A. B. Mikkelsen,A. Mikkelsen,Andreas B. Mikkelsen,Andreas Mikkelsen,,
167,Brice P.Y. Noël,,male,,,,B. P. Noël,B. Noël,Brice P. Noël,Brice Noël,,
168,Dorthe Petersen,,female,,,,D. Petersen,D. Petersen,Dorthe Petersen,Dorthe Petersen,,
169,Michiel R. van den Broeke,,male,,,,M. R. v. d. Broeke,M. Broeke,Michiel R. v. d. Broeke,Michiel Broeke,,
170,Marek Stibal,,male,,,,M. Stibal,M. Stibal,Marek Stibal,Marek Stibal,,
171,Karen A. Cameron,,female,,,,K. A. Cameron,K. Cameron,Karen A. Cameron,Karen Cameron,,
172,Marian L. Yallop,,male,,,,M. L. Yallop,M. Yallop,Marian L. Yallop,Marian Yallop,,
173,Ruth H. Mottram,,female,,,,R. H. Mottram,R. Mottram,Ruth H. Mottram,Ruth Mottram,,
174,Alia L. Khan,,female,,,,A. L. Khan,A. Khan,Alia L. Khan,Alia Khan,,
175,Noah P. Molotch,,male,,,,N. P. Molotch,N. Molotch,Noah P. Molotch,Noah Molotch,,
176,Nathan A.M. Chrismas,,male,,,,N. A. Chrismas,N. Chrismas,Nathan A. Chrismas,Nathan Chrismas,,
177,Filippo Calì Quaglia,,male,,,,F. C. Quaglia,F. Quaglia,Filippo C. Quaglia,Filippo Quaglia,,
178,Daniel Remias,,male,,,,D. Remias,D. Remias,Daniel Remias,Daniel Remias,,
179,C. J.P.Paul Smeets,,male,,,,C. J. Smeets,C. Smeets,C. J. Smeets,C. Smeets,,
180,Jonathan C. Ryan,,male,,,,J. C. Ryan,J. Ryan,Jonathan C. Ryan,Jonathan Ryan,,
181,Alun Hubbard,,male,,,,A. Hubbard,A. Hubbard,Alun Hubbard,Alun Hubbard,,
182,Martyn Tranter,,male,,,,M. Tranter,M. Tranter,Martyn Tranter,Martyn Tranter,,
183,Konrad Steffen,,male,,,,K. Steffen,K. Steffen,Konrad Steffen,Konrad Steffen,,
184,Andreas P. AhlstrØm,,male,,,,A. P. AhlstrØm,A. AhlstrØm,Andreas P. AhlstrØm,Andreas AhlstrØm,,
185,Horst Machguth,,male,,,,H. Machguth,H. Machguth,Horst Machguth,Horst Machguth,,
186,Henrik H. Thomsen,,male,,,,H. H. Thomsen,H. Thomsen,Henrik H. Thomsen,Henrik Thomsen,,
187,Anker Weidick,,male,,,,A. Weidick,A. Weidick,Anker Weidick,Anker Weidick,,
188,Morten L. Andersen,,male,,,,M. L. Andersen,M. Andersen,Morten L. Andersen,Morten Andersen,,
189,Roger J. Braithwaite,,male,,,,R. J. Braithwaite,R. Braithwaite,Roger J. Braithwaite,Roger Braithwaite,,
190,Carl E. Bøggild,,male,,,,C. E. Bøggild,C. Bøggild,Carl E. Bøggild,Carl Bøggild,,
191,Poul Clement,,male,,,,P. Clement,P. Clement,Poul Clement,Poul Clement,,
192,Karin Gleie,,female,,,,K. Gleie,K. Gleie,Karin Gleie,Karin Gleie,,
193,Stefanie Gubler,,female,,,,S. Gubler,S. Gubler,Stefanie Gubler,Stefanie Gubler,,
194,Bernhard Hynek,,male,,,,B. Hynek,B. Hynek,Bernhard Hynek,Bernhard Hynek,,
195,Niels T. Knudsen,,male,,,,N. T. Knudsen,N. Knudsen,Niels T. Knudsen,Niels Knudsen,,
196,Johannes Oerlemans,,male,,,,J. Oerlemans,J. Oerlemans,Johannes Oerlemans,Johannes Oerlemans,,
197,Hans Oerter,,male,,,,H. Oerter,H. Oerter,Hans Oerter,Hans Oerter,,
198,Ole B. Olesen,,male,,,,O. B. Olesen,O. Olesen,Ole B. Olesen,Ole Olesen,,
199,Manfred Stober,,male,,,,M. Stober,M. Stober,Manfred Stober,Manfred Stober,,
200,Michiel R. Van Den Broeke,,male,,,,M. R. V. D. Broeke,M. Broeke,Michiel R. V. D. Broeke,Michiel Broeke,,
201,Roderik S.W. Van De Wal,,male,,,,R. S. V. D. Wal,R. Wal,Roderik S. V. D. Wal,Roderik Wal,,
202,Christine Schøtt Hvidberg,,female,,,,C. S. Hvidberg,C. Hvidberg,Christine S. Hvidberg,Christine Hvidberg,,
203,Michael John Willis,,male,,,,M. J. Willis,M. Willis,Michael J. Willis,Michael Willis,,
204,Charalampos Charalampidis,,male,,,,C. Charalampidis,C. Charalampidis,Charalampos Charalampidis,Charalampos Charalampidis,,
205,Andreas P. Ahlstrom,,male,,,,A. P. Ahlstrom,A. Ahlstrom,Andreas P. Ahlstrom,Andreas Ahlstrom,,
206,Jens A. Antoft,,male,,,,J. A. Antoft,J. Antoft,Jens A. Antoft,Jens Antoft,,
207,Karen Edelvang,,female,,,,K. Edelvang,K. Edelvang,Karen Edelvang,Karen Edelvang,,
208,Trine S. Jensen,,female,,,,T. S. Jensen,T. Jensen,Trine S. Jensen,Trine Jensen,,
209,Martin Veicherts,,male,,,,M. Veicherts,M. Veicherts,Martin Veicherts,Martin Veicherts,,
210,William T. Colgan,,male,,,,W. T. Colgan,W. Colgan,William T. Colgan,William Colgan,,
211,Michael Zemp,,male,,,,M. Zemp,M. Zemp,Michael Zemp,Michael Zemp,,
212,Holger Frey,,male,,,,H. Frey,H. Frey,Holger Frey,Holger Frey,,
213,Isabelle Gärtner-Roer,,female,,,,I. Gärtner-Roer,I. Gärtner-Roer,Isabelle Gärtner-Roer,Isabelle Gärtner-Roer,,
214,Samuel U. Nussbaumer,,male,,,,S. U. Nussbaumer,S. Nussbaumer,Samuel U. Nussbaumer,Samuel Nussbaumer,,
215,Martin Hoelzle,,male,,,,M. Hoelzle,M. Hoelzle,Martin Hoelzle,Martin Hoelzle,,
216,Frank Paul,,male,,,,F. Paul,F. Paul,Frank Paul,Frank Paul,,
217,Wilfried Haeberli,,male,,,,W. Haeberli,W. Haeberli,Wilfried Haeberli,Wilfried Haeberli,,
218,Florian Denzinger,,male,,,,F. Denzinger,F. Denzinger,Florian Denzinger,Florian Denzinger,,
219,Brian Anderson,,male,,,,B. Anderson,B. Anderson,Brian Anderson,Brian Anderson,,
220,Samjwal Bajracharya,,male,,,,S. Bajracharya,S. Bajracharya,Samjwal Bajracharya,Samjwal Bajracharya,,
221,Carlo Baroni,,male,,,,C. Baroni,C. Baroni,Carlo Baroni,Carlo Baroni,,
222,Ludwig N. Braun,,male,,,,L. N. Braun,L. Braun,Ludwig N. Braun,Ludwig Braun,,
223,Bolívar E. Càceres,,male,,,,B. E. Càceres,B. Càceres,Bolívar E. Càceres,Bolívar Càceres,,
224,Gino Casassa,,male,,,,G. Casassa,G. Casassa,Gino Casassa,Gino Casassa,,
225,Guillermo Cobos,,male,,,,G. Cobos,G. Cobos,Guillermo Cobos,Guillermo Cobos,,
226,Luzmila R. Dàvila,,female,,,,L. R. Dàvila,L. Dàvila,Luzmila R. Dàvila,Luzmila Dàvila,,
227,Hugo Delgado Granados,,male,,,,H. D. Granados,H. Granados,Hugo D. Granados,Hugo Granados,,
228,Michael N. Demuth,,male,,,,M. N. Demuth,M. Demuth,Michael N. Demuth,Michael Demuth,,
229,Lydia Espizua,,female,,,,L. Espizua,L. Espizua,Lydia Espizua,Lydia Espizua,,
230,Andrea Fischer,,female,,,,A. Fischer,A. Fischer,Andrea Fischer,Andrea Fischer,,
231,Koji Fujita,,male,,,,K. Fujita,K. Fujita,Koji Fujita,Koji Fujita,,
232,Bogdan Gadek,,male,,,,B. Gadek,B. Gadek,Bogdan Gadek,Bogdan Gadek,,
233,Ali Ghazanfar,,male,,,,A. Ghazanfar,A. Ghazanfar,Ali Ghazanfar,Ali Ghazanfar,,
234,Jon Ove Hagen,,male,,,,J. O. Hagen,J. Hagen,Jon O. Hagen,Jon Hagen,,
235,Per Holmlund,,male,,,,P. Holmlund,P. Holmlund,Per Holmlund,Per Holmlund,,
236,Neamat Karimi,,male,,,,N. Karimi,N. Karimi,Neamat Karimi,Neamat Karimi,,
237,Zhongqin Li,,male,,,,Z. Li,Z. Li,Zhongqin Li,Zhongqin Li,,
238,Mauri Pelto,,male,,,,M. Pelto,M. Pelto,Mauri Pelto,Mauri Pelto,,
239,Pierre Pitte,,male,,,,P. Pitte,P. Pitte,Pierre Pitte,Pierre Pitte,,
240,Victor V. Popovnin,,male,,,,V. V. Popovnin,V. Popovnin,Victor V. Popovnin,Victor Popovnin,,
241,Cesar A. Portocarrero,,male,,,,C. A. Portocarrero,C. Portocarrero,Cesar A. Portocarrero,Cesar Portocarrero,,
242,Rainer Prinz,,male,,,,R. Prinz,R. Prinz,Rainer Prinz,Rainer Prinz,,
243,Chandrashekhar V. Sangewar,,male,,,,C. V. Sangewar,C. Sangewar,Chandrashekhar V. Sangewar,Chandrashekhar Sangewar,,
244,Igor Severskiy,,male,,,,I. Severskiy,I. Severskiy,Igor Severskiy,Igor Severskiy,,
245,Oddur Sigurdsson,,male,,,,O. Sigurdsson,O. Sigurdsson,Oddur Sigurdsson,Oddur Sigurdsson,,
246,Alvaro Soruco,,male,,,,A. Soruco,A. Soruco,Alvaro Soruco,Alvaro Soruco,,
247,Ryskul Usubaliev,,male,,,,R. Usubaliev,R. Usubaliev,Ryskul Usubaliev,Ryskul Usubaliev,,
248,Christian Vincent,,male,,,,C. Vincent,C. Vincent,Christian Vincent,Christian Vincent,,
249,J. H. Christensen,,male,,,,J. H. Christensen,J. Christensen,J. H. Christensen,J. Christensen,,
250,F. Boberg,,male,,,,F. Boberg,F. Boberg,F. Boberg,F. Boberg,,
251,C. B. Rodehacke,,male,,,,C. B. Rodehacke,C. Rodehacke,C. B. Rodehacke,C. Rodehacke,,
252,M. Stendel,,male,,,,M. Stendel,M. Stendel,M. Stendel,M. Stendel,,
253,D. van As,,male,,,,D. v. As,D. As,D. v. As,D. As,,
